block_id,pipeline,model,n_features_before,n_features_after,best_params,accuracy,macro_f1,fit_runtime_sec,inference_runtime_sec
0,no_pca,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.813,0.8145067062259047,29.074434099995415,0.6419850999955088
0,no_pca,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.833,0.83188227793338,52.380959799993434,0.006816299995989539
0,no_pca,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.832,0.8291014868655973,65.12695559999702,0.024058099996182136
1,no_pca,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.814,0.8142954488159313,27.38883240000723,0.6648220999995829
1,no_pca,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.834,0.8326120571125338,56.346671900006186,0.009148400000412948
1,no_pca,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.848,0.844844662525343,66.50105060000351,0.025523500000417698
2,no_pca,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.818,0.8175733457944903,27.9196884999983,0.6996882000021287
2,no_pca,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.832,0.8302353248471654,63.19897060000221,0.006076300000131596
2,no_pca,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 50}",0.84,0.8376677724906022,64.12282409999898,0.014045399992028251
3,no_pca,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.813,0.8127544854738096,27.79331159999856,0.6985382999991998
3,no_pca,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.829,0.8272617963241953,58.85925880000286,0.0068322000006446615
3,no_pca,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.843,0.8414213911151014,65.61590710000019,0.025221899995813146
4,no_pca,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.817,0.8182146082873402,28.173600900001475,0.682531000005838
4,no_pca,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.822,0.8225657459146856,54.42714530000376,0.007866600004490465
4,no_pca,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.833,0.8306658752949568,66.572828999997,0.03368380000756588
5,no_pca,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.804,0.8045030011524202,30.00754149999557,0.6962151999978232
5,no_pca,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.821,0.8194880108572283,60.73917929999152,0.009249700007785577
5,no_pca,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.844,0.840812352485397,66.8277081999986,0.026651900006982032
6,no_pca,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.822,0.821818303432092,28.5057519999973,0.6953695000047446
6,no_pca,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.826,0.8250228386908468,64.16587979999895,0.007064299999910872
6,no_pca,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.84,0.8387671043861447,66.22486170000047,0.025500700001430232
