block_id,pipeline,model,n_features_before,n_features_after,best_params,accuracy,macro_f1,fit_runtime_sec,inference_runtime_sec
0,raw,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.82,0.8205718505601103,17.67194474599978,0.5228416939999079
0,raw,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.747,0.7485987201021894,133.0209996980002,0.0017672379999567056
0,raw,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.833,0.8299208865484029,36.811815616999866,0.01411501699976725
1,raw,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.821,0.8195932144087473,17.18718108899975,0.4941616940000131
1,raw,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.778,0.7791544170909702,143.9130347749997,0.0014788080002290371
1,raw,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 100}",0.847,0.8436404876923115,35.51736546400025,0.014981808999891655
2,raw,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.821,0.8202463808135683,16.074942370999906,0.51094724900031
2,raw,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.774,0.772715624556214,130.04917182099962,0.002062022999780311
2,raw,RandomForestClassifier,784,784,"{'max_depth': 20, 'n_estimators': 50}",0.841,0.8386570605195359,35.00080620000017,0.008004580000033457
3,raw,KNeighborsClassifier,784,784,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'distance'}",0.819,0.818193869314821,15.651711026999692,0.4917904699996143
3,raw,LogisticRegression,784,784,"{'C': 0.01, 'max_iter': 500, 'solver': 'lbfgs'}",0.761,0.7610574160620809,153.9583983980001,0.0013778580000689544
