model,metric,block_id,no_pca_value,scaled_value,diff
KNeighborsClassifier,accuracy,0,0.813,0.813,0.0
KNeighborsClassifier,accuracy,1,0.814,0.814,0.0
KNeighborsClassifier,accuracy,2,0.818,0.818,0.0
KNeighborsClassifier,accuracy,3,0.813,0.813,0.0
KNeighborsClassifier,accuracy,4,0.817,0.817,0.0
KNeighborsClassifier,accuracy,5,0.804,0.804,0.0
KNeighborsClassifier,accuracy,6,0.822,0.822,0.0
KNeighborsClassifier,accuracy,7,0.806,0.806,0.0
KNeighborsClassifier,accuracy,8,0.814,0.814,0.0
KNeighborsClassifier,accuracy,9,0.813,0.813,0.0
KNeighborsClassifier,macro_f1,0,0.8145067062259047,0.8145067062259047,0.0
KNeighborsClassifier,macro_f1,1,0.8142954488159313,0.8142954488159313,0.0
KNeighborsClassifier,macro_f1,2,0.8175733457944903,0.8175733457944903,0.0
KNeighborsClassifier,macro_f1,3,0.8127544854738096,0.8127544854738096,0.0
KNeighborsClassifier,macro_f1,4,0.8182146082873402,0.8182146082873402,0.0
KNeighborsClassifier,macro_f1,5,0.8045030011524202,0.8045030011524202,0.0
KNeighborsClassifier,macro_f1,6,0.821818303432092,0.821818303432092,0.0
KNeighborsClassifier,macro_f1,7,0.8068213428018893,0.8068213428018893,0.0
KNeighborsClassifier,macro_f1,8,0.8145038641810893,0.8145038641810893,0.0
KNeighborsClassifier,macro_f1,9,0.8122539514589764,0.8122539514589764,0.0
KNeighborsClassifier,fit_runtime_sec,0,16.504223251999974,16.442623034000007,-0.061600217999966844
KNeighborsClassifier,fit_runtime_sec,1,16.029082436999488,17.008879596999577,0.9797971600000892
KNeighborsClassifier,fit_runtime_sec,2,16.399370614999498,16.557353948001037,0.157983333001539
KNeighborsClassifier,fit_runtime_sec,3,16.57759167399945,16.441862346000562,-0.13572932799888804
KNeighborsClassifier,fit_runtime_sec,4,16.76992816999973,15.780055356999585,-0.9898728130001455
KNeighborsClassifier,fit_runtime_sec,5,15.827418697000212,15.748706313000184,-0.07871238400002767
KNeighborsClassifier,fit_runtime_sec,6,17.31097090000003,16.894198573000722,-0.41677232699930755
KNeighborsClassifier,fit_runtime_sec,7,16.093773837999834,16.414389576999383,0.32061573899954965
KNeighborsClassifier,fit_runtime_sec,8,16.621612975000062,16.408732192999196,-0.21288078200086602
KNeighborsClassifier,fit_runtime_sec,9,16.46701840700007,16.193818230000034,-0.2732001770000352
KNeighborsClassifier,inference_runtime_sec,0,0.4435587299994949,0.4517089020000639,0.008150172000569
KNeighborsClassifier,inference_runtime_sec,1,0.4555402770001819,0.4446567090003555,-0.010883567999826427
KNeighborsClassifier,inference_runtime_sec,2,0.5142801569991207,0.5318180650010618,0.017537908001941105
KNeighborsClassifier,inference_runtime_sec,3,0.5257291519992577,0.4913677439999446,-0.03436140799931314
KNeighborsClassifier,inference_runtime_sec,4,0.474254512000698,0.5162709710002673,0.042016458999569295
