comparison,model,metric,n_blocks,baseline_pipeline,treatment_pipeline,baseline_mean,baseline_std,treatment_mean,treatment_std,mean_diff,std_diff,median_diff,ci_95_low,ci_95_high,ci_target,test_used,shapiro_p_on_diff,statistic,p_value,significant_at_0.05,conclusion
pca_50_vs_no_pca,KNeighborsClassifier,accuracy,10,no_pca,pca_50,0.8134,0.0052957005621961,0.7184000000000001,0.011384199576606175,-0.095,0.014313940369055912,-0.09649999999999997,-0.10523957609490944,-0.08476042390509056,mean,paired t-test (ttest_rel),0.5966976795082348,-20.98767844285845,5.932681863419373e-09,True,Có bằng chứng thống kê 'pca_50' và 'no_pca' khác nhau
pca_50_vs_no_pca,KNeighborsClassifier,macro_f1,10,no_pca,pca_50,0.8137245057623943,0.005140499754413303,0.7158507831086527,0.011617528514928938,-0.09787372265374168,0.014411750069100074,-0.09902815705189377,-0.10818326759305036,-0.087564177714433,mean,paired t-test (ttest_rel),0.9153600038461671,-21.47580170218493,4.841568935648128e-09,True,Có bằng chứng thống kê 'pca_50' và 'no_pca' khác nhau
pca_50_vs_no_pca,LogisticRegression,accuracy,10,no_pca,pca_50,0.8289,0.00766594199473664,0.6962999999999999,0.010729502421930952,-0.1326,0.014198591479439089,-0.13449999999999995,-0.14275706047012396,-0.12244293952987605,mean,paired t-test (ttest_rel),0.10732008593952469,-29.53236723132287,2.857231483454862e-10,True,Có bằng chứng thống kê 'pca_50' và 'no_pca' khác nhau
pca_50_vs_no_pca,LogisticRegression,macro_f1,10,no_pca,pca_50,0.8277483898582357,0.007602246568546525,0.6886114729859816,0.009770156022823473,-0.13913691687225402,0.013373132709044054,-0.1412563916492186,-0.14870347971036724,-0.1295703540341408,mean,paired t-test (ttest_rel),0.25441213159280307,-32.901009322391246,1.0896234321082465e-10,True,Có bằng chứng thống kê 'pca_50' và 'no_pca' khác nhau
pca_50_vs_no_pca,RandomForestClassifier,accuracy,10,no_pca,pca_50,0.837,0.00748331477354789,0.7314999999999999,0.01049073665457082,-0.10549999999999997,0.012589678312014182,-0.10649999999999998,-0.11450611332467095,-0.09649388667532899,mean,paired t-test (ttest_rel),0.8447195843167039,-26.499508953250533,7.500714599601946e-10,True,Có bằng chứng thống kê 'pca_50' và 'no_pca' khác nhau
pca_50_vs_no_pca,RandomForestClassifier,macro_f1,10,no_pca,pca_50,0.8344396890227175,0.007424307984822663,0.7283669201257224,0.010276471297902112,-0.10607276889699517,0.012814058453421165,-0.10594412668516318,-0.11523939410538828,-0.09690614368860206,mean,paired t-test (ttest_rel),0.8557962987331411,-26.1768391844362,8.364318219732391e-10,True,Có bằng chứng thống kê 'pca_50' và 'no_pca' khác nhau
pca_75_vs_no_pca,KNeighborsClassifier,accuracy,10,no_pca,pca_75,0.8134,0.0052957005621961,0.8084999999999999,0.0065870242817897984,-0.004899999999999949,0.00924301538099622,-0.0044999999999999485,,,N/A (bootstrap=False),Wilcoxon signed-rank (wilcoxon),0.04295836395858052,8.5,0.109375,False,Chưa đủ bằng chứng để kết luận có khác biệt
pca_75_vs_no_pca,KNeighborsClassifier,macro_f1,10,no_pca,pca_75,0.8137245057623943,0.005140499754413303,0.8078033008767262,0.00608996858049007,-0.005921204885668019,0.008642658975068902,-0.005426232226311778,-0.012103790669585666,0.00026138089824962775,mean,paired t-test (ttest_rel),0.1188639540174698,-2.16652004727267,0.05844375554507271,False,Chưa đủ bằng chứng để kết luận có khác biệt
pca_75_vs_no_pca,LogisticRegression,accuracy,10,no_pca,pca_75,0.8289,0.00766594199473664,0.8051999999999999,0.007641989269817098,-0.023699999999999933,0.0064126610874287076,-0.02199999999999991,-0.028287341394654757,-0.01911265860534511,mean,paired t-test (ttest_rel),0.758454803047494,-11.687188754277605,9.639615716387726e-07,True,Có bằng chứng thống kê 'pca_75' và 'no_pca' khác nhau
pca_75_vs_no_pca,LogisticRegression,macro_f1,10,no_pca,pca_75,0.8277483898582357,0.007602246568546525,0.803601752795416,0.007985325100995809,-0.02414663706281971,0.006372129615030609,-0.023132584226512043,-0.02870498398878468,-0.01958829013685474,mean,paired t-test (ttest_rel),0.8922641022482299,-11.983179182644701,7.792435364944317e-07,True,Có bằng chứng thống kê 'pca_75' và 'no_pca' khác nhau
pca_75_vs_no_pca,RandomForestClassifier,accuracy,10,no_pca,pca_75,0.837,0.00748331477354789,0.8214,0.007748835037890813,-0.015600000000000003,0.00783439709089204,-0.016000000000000014,-0.021204390063224585,-0.00999560993677542,mean,paired t-test (ttest_rel),0.4651410692344806,-6.296787222590186,0.0001415231750790595,True,Có bằng chứng thống kê 'pca_75' và 'no_pca' khác nhau
pca_75_vs_no_pca,RandomForestClassifier,macro_f1,10,no_pca,pca_75,0.8344396890227175,0.007424307984822663,0.8193751670924672,0.007020369279682179,-0.015064521930250352,0.008134680912052801,-0.015457365363974962,-0.02088372209869885,-0.009245321761801852,mean,paired t-test (ttest_rel),0.5413203118927905,-5.856185593040765,0.00024188758119701506,True,Có bằng chứng thống kê 'pca_75' và 'no_pca' khác nhau
pca_90_vs_no_pca,KNeighborsClassifier,accuracy,10,no_pca,pca_90,0.8134,0.0052957005621961,0.8187999999999999,0.005593647190240796,0.005399999999999993,0.007820201759261397,0.004500000000000004,-0.00019423533470981288,0.0109942353347098,mean,paired t-test (ttest_rel),0.5740980466836976,2.1836136573696345,0.05683880489715995,False,Chưa đủ bằng chứng để kết luận có khác biệt
pca_90_vs_no_pca,KNeighborsClassifier,macro_f1,10,no_pca,pca_90,0.8137245057623943,0.005140499754413303,0.8195239961716195,0.005887083610803545,0.005799490409225183,0.008021021914924568,0.005350765619864195,6.159698930007385e-05,0.011537383829150292,mean,paired t-test (ttest_rel),0.8153433318009771,2.2864416973265485,0.04805353876740357,True,Có bằng chứng thống kê 'pca_90' và 'no_pca' khác nhau
